title,body,source,timestamp,tags
Opening Bell Remarks EY IPO Masterclass,testing,/api/api/publication/news/10671,2024-05-31T14:45:15.887,"EY,IPO,BEI"
Kejuaraan Nasional Karateka ASKI #AkuInvestorSaham,testing,/api/api/publication/news/10669,2024-05-31T10:27:29,
Penandatanganan Memorandum of Understanding antara BEI dengan IGNITE,"Pada Kamis, 30 Mei 2024, PT Bursa Efek Indonesia (BEI) melakukan penandatanganan Memorandum of Understanding (MoU) dengan IGNITE Women Networking And Mentorship Program (IGNITE). MoU ini berisikan komitmen bersama untuk meningkatkan partisipasi dan jaringan guna mendorong pertumbuhan kepemimpinan perempuan di perusahaan tercatat di BEI melalui program IGNITE.",/api/api/publication/news/10667,2024-05-30T17:24:42,IGNITE
Pencatatan Obligasi Berkelanjutan VI Mandiri Tunas Finance Tahap III Tahun 2024,"Pada 29 Mei 2024, Obligasi Berkelanjutan VI Mandiri Tunas Finance Tahap III Tahun 2024 oleh PT Mandiri Tunas Finance mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10665,2024-05-29T09:36:36,"TUFI,Mandiri Tunas Finance"
Pengumuman Pelaksanaan Rapat Umum Pemegang Saham Tahunan (RUPST) untuk Pemegang Saham BEI,"Pada Rabu, 26 Juni 2024 akan diselenggarakan Rapat Umum Pemegang Saham Tahunan (RUPST) PT Bursa Efek Indonesia (BEI).",/api/api/publication/news/10663,2024-05-28T09:37:04.86,RUPST
Gala Dinner & Inspiring Session “Go Big with Go Public” bersama Pelaku Usaha di Nusa Tenggara Barat,testing ,/api/api/publication/news/10661,2024-05-27T10:21:39.15,
"Pencatatan Obligasi Berkelanjutan, Obligasi USD Berkelanjutan dan Obligasi Berwawasan Lingkungan Berkelanjutan OKI Pulp & Paper Mills pada tanggal 22 Mei 2024","Pada 22 Mei 2024, Obligasi Berkelanjutan I OKI Pulp & Paper Mills Tahap IV Tahun 2024, Obligasi USD Berkelanjutan I OKI Pulp & Paper Mills Tahap IV Tahun 2024 dan Obligasi Berwawasan Lingkungan Berkelanjutan I OKI Pulp & Paper Mills Tahap IV Tahun 2024 oleh PT OKI Pulp & Paper Mills mulai dicatatkan di Bursa Efek Indonesia (BEI). ",/api/api/publication/news/10659,2024-05-22T14:08:58,
Gala Dinner “Go Big with Go Public” bersama Pelaku Usaha di Jambi,"Otoritas Jasa Keuangan (OJK) bersama PT Bursa Efek Indonesia (BEI), PT Kustodian Sentral Efek Indonesia (KSEI), dan PT Kliring Penjaminan Efek Indonesia (KPEI) menyelenggarakan Gala Dinner “Go Big with Go Public” di Hotel BW Luxury Jambi",/api/api/publication/news/10657,2024-05-22T09:22:22,
Go Public Workshop: “Go Big with Go Public” Bekerja Sama dengan Kamar Dagang dan Industri (Kadin)  Kota Palu dan Kabupaten Sigi,"Selasa, 14 Mei 2024, PT Bursa Efek Indonesia (BEI), PT Kustodian Sentral Efek Indonesia (KSEI), dan PT Kliring Penjaminan Efek Indonesia (KPEI) bekerja sama dengan Kadin Kota Palu dan Kadin Kabupaten Sigi menyelenggarakan Go Public Workshop dengan tema “Go Big with Go Public” di Hotel Best Western Plus Coco Palu. ",/api/api/publication/news/10655,2024-05-17T10:49:18.62,
Go Public Seminar & Coaching Clinic Bekerja Sama dengan Pemerintah Kabupaten Minahasa Utara,Testing,/api/api/publication/news/10653,2024-05-14T16:58:48.86,
